fund_id,fund_name,security_name,isin,number_of_shares,share_change,sector
INF846K01K35,INF846K01K35,Mahindra Lifespace Developers Ltd,INE813A01018,3229065.0,526297.0,Real Estate
INF846K01K35,INF846K01K35,Niva Bupa Health Insurance Co Ltd,INE995S01015,13847059.0,0.0,Financial Services
INF846K01K35,INF846K01K35,R R Kabel Ltd,INE777K01022,941352.0,0.0,Industrials
INF846K01K35,INF846K01K35,Balrampur Chini Mills Ltd,INE119A01028,2041015.0,0.0,Consumer Defensive
INF846K01K35,INF846K01K35,Rategain Travel Technologies Ltd,INE0CLI01024,2090422.0,641730.0,Technology
INF846K01K35,INF846K01K35,HeidelbergCement India Ltd,INE578A01017,5040690.0,0.0,Basic Materials
INF846K01K35,INF846K01K35,Hindalco Industries Ltd,INE038A01020,1430102.0,0.0,Basic Materials
INF846K01K35,INF846K01K35,Birlasoft Ltd,INE836A01035,2663979.0,0.0,Technology
INF846K01K35,INF846K01K35,Havells India Ltd,INE176B01034,635613.0,0.0,Industrials
INF846K01K35,INF846K01K35,Jyothy Labs Ltd,INE668F01031,2803873.0,0.0,Consumer Defensive
INF846K01K35,INF846K01K35,Timken India Ltd,INE325A01013,328425.0,0.0,Industrials
INF846K01K35,INF846K01K35,HealthCare Global Enterprises Ltd,INE075I01017,1392000.0,1392000.0,Healthcare
INF846K01K35,INF846K01K35,Whirlpool of India Ltd,INE716A01013,694567.0,0.0,Consumer Cyclical
INF846K01K35,INF846K01K35,Gland Pharma Ltd,INE068V01023,458035.0,0.0,Healthcare
INF846K01K35,INF846K01K35,Alicon Castalloy Ltd,INE062D01024,1011361.0,0.0,Industrials
INF846K01K35,INF846K01K35,JM Financial Ltd,INE780C01023,4765585.0,0.0,Financial Services
INF846K01K35,INF846K01K35,Gokaldas Exports Ltd,INE887G01027,1254781.0,0.0,Consumer Cyclical
INF846K01K35,INF846K01K35,Persistent Systems Ltd,INE262H01021,149851.0,0.0,Technology
INF846K01K35,INF846K01K35,L&T Technology Services Ltd,INE010V01017,187250.0,0.0,Technology
INF846K01K35,INF846K01K35,Firstsource Solutions Ltd,INE684F01012,2205999.0,0.0,Technology
INF846K01K35,INF846K01K35,Fortis Healthcare Ltd,INE061F01013,845494.0,-1259199.0,Healthcare
INF846K01K35,INF846K01K35,Titagarh Rail Systems Ltd,INE615H01020,932832.0,0.0,Industrials
INF846K01K35,INF846K01K35,KNR Constructions Ltd,INE634I01029,3873356.0,0.0,Industrials
INF846K01K35,INF846K01K35,Gujarat Fluorochemicals Ltd Ordinary Shares,INE09N301011,216518.0,0.0,Basic Materials
INF846K01K35,INF846K01K35,Tata Consultancy Services Ltd,INE467B01029,237254.0,0.0,Technology
INF846K01K35,INF846K01K35,PNB Housing Finance Ltd,INE572E01012,966457.0,0.0,Financial Services
INF846K01K35,INF846K01K35,Delhivery Ltd,INE148O01028,1495630.0,0.0,Industrials
INF846K01K35,INF846K01K35,SBFC Finance Ltd,INE423Y01016,6390734.0,0.0,Financial Services
INF846K01K35,INF846K01K35,PG Electroplast Ltd,INE457L01029,1241883.0,263956.0,Technology
INF846K01K35,INF846K01K35,Strides Pharma Science Ltd,INE939A01011,735028.0,0.0,Healthcare
INF846K01K35,INF846K01K35,CG Power & Industrial Solutions Ltd,INE067A01029,859225.0,0.0,Industrials
INF846K01K35,INF846K01K35,Sharda Motor Industries Ltd,INE597I01028,516620.0,0.0,Consumer Cyclical
INF846K01K35,INF846K01K35,VST Industries Ltd,INE710A01016,1897412.0,0.0,Consumer Defensive
INF846K01K35,INF846K01K35,Suprajit Engineering Ltd,INE399C01030,1126315.0,0.0,Consumer Cyclical
INF846K01K35,INF846K01K35,KEI Industries Ltd,INE878B01027,129909.0,0.0,Industrials
INF846K01K35,INF846K01K35,TeamLease Services Ltd,INE985S01024,271086.0,0.0,Industrials
INF846K01K35,INF846K01K35,PDS Ltd,INE111Q01021,1399254.0,0.0,Industrials
INF846K01K35,INF846K01K35,Container Corporation of India Ltd,INE111A01025,840528.0,0.0,Industrials
INF846K01K35,INF846K01K35,Aether Industries Ltd,INE0BWX01014,585452.0,0.0,Basic Materials
INF846K01K35,INF846K01K35,Jyoti CNC Automation Ltd,INE980O01024,460992.0,0.0,Industrials
INF846K01K35,INF846K01K35,Aditya Birla Real Estate Ltd,INE055A01016,231613.0,0.0,Basic Materials
INF846K01K35,INF846K01K35,Engineers India Ltd,INE510A01028,2035883.0,0.0,Industrials
INF846K01K35,INF846K01K35,MTAR Technologies Ltd,INE864I01014,282833.0,0.0,Industrials
