,trend_score,appearances,current_shares,share_change,funds,funds_entered,funds_exited
SIS Ltd Ordinary Shares,0.0,2,3113660.0,0.0,"INF194KB1AL4,INF204K01K15",,
Safari Industries (India) Ltd,0.0,4,789218.0,0.0,"INF194KB1AL4,INF205K013T3,INF663L01W06,INF917K01QA1",,
GNA Axles Ltd,0.0,2,3395675.0,0.0,"INF179KA1RZ8,INF194KB1AL4",,
Ethos Ltd,0.0,3,754501.0,0.0,"INF194KB1AL4,INF205K013T3,INF966L01689",,
JSW Cement Ltd,0.0,2,11119506.0,0.0,"INF194KB1AL4,INF204K01K15",,
IndiaMART InterMESH Ltd,0.0,2,341798.0,0.0,"INF194KB1AL4,INF204K01K15",,
State Bank of India,0.0,2,11280624.0,0.0,"INF194KB1AL4,INF204K01K15",,
UPL Ltd,0.0,1,375198.0,0.0,INF194KB1AL4,,
National Aluminium Co Ltd,0.0,1,2290000.0,0.0,INF194KB1AL4,,
Eris Lifesciences Ltd Registered Shs,1.0,3,6647707.0,0.0,"INF179KA1RZ8,INF194KB1AL4,INF917K01QA1",INF917K01QA1,
Jubilant Pharmova Ltd,0.0,2,4482841.0,0.0,"INF194KB1AL4,INF966L01689",,
Kirloskar Ferrous Industries Ltd,1.0,4,14759318.0,0.5795002540982636,"INF179KA1RZ8,INF194KB1AL4,INF204K01K15,INF277K011O1",INF277K011O1,
Suryoday Small Finance Bank Ltd,0.0,1,694610.0,0.0,INF194KB1AL4,,
GE Vernova T&D India Ltd,-1.0,4,2070230.0,-13.493025303971557,"INF194KB1AL4,INF247L01BY3,INF846K01K35,INF917K01QA1",,
Rane Holdings Ltd,0.0,1,146008.0,0.0,INF194KB1AL4,,
Kirloskar Pneumatic Co Ltd,0.0,5,9608399.0,0.0,"INF194KB1AL4,INF204K01K15,INF277K011O1,INF663L01W06,INF917K01QA1",,
Mangalore Chemicals & Fertilizers Ltd,0.0,1,531768.0,0.0,INF194KB1AL4,,
Jubilant Ingrevia Ltd Ordinary Shares,0.0,2,3224882.0,0.0,"INF194KB1AL4,INF846K01K35",,
E2E Networks Ltd Ordinary Shares,0.0,1,20000.0,0.0,INF194KB1AL4,,
Vedant Fashions Ltd,0.0,2,1918373.0,0.0,"INF194KB1AL4,INF204K01K15",,
Greenpanel Industries Ltd Ordinary Shares,0.0,1,778754.0,0.0,INF194KB1AL4,,
Tilaknagar Industries Ltd,0.0,1,1144454.0,0.0,INF194KB1AL4,,
Garware Hi-Tech Films Ltd,0.0,1,64022.0,0.0,INF194KB1AL4,,
Aditya Birla Fashion and Retail Ltd,0.0,3,35453379.0,0.0,"INF194KB1AL4,INF204K01K15,INF966L01689",,
Spicejet Ltd,0.0,1,15028063.0,0.0,INF194KB1AL4,,
Apar Industries Ltd,1.0,7,2394625.0,15.957924836601306,"INF179KA1RZ8,INF194KB1AL4,INF204K01K15,INF205K013T3,INF247L01BY3,INF846K01K35,INF917K01QA1",INF917K01QA1,
VRL Logistics Ltd,0.0,2,14927284.0,0.0,"INF179KA1RZ8,INF194KB1AL4",,
Arvind Ltd,0.0,2,20552181.0,0.0,"INF194KB1AL4,INF966L01689",,
JSW Energy Ltd,0.0,1,277905.0,0.0,INF194KB1AL4,,
Blue Star Ltd,-1.0,5,5598140.0,-42.76464372400069,"INF194KB1AL4,INF204K01K15,INF663L01W06,INF846K01K35,INF917K01QA1",,
UPL Ltd Ordinary Shares (Partly Paid Rs.1),0.0,1,100512.0,0.0,INF194KB1AL4,,
Krsnaa Diagnostics Ltd,0.0,2,3072468.0,0.0,"INF194KB1AL4,INF277K011O1",,
Jyothy Labs Ltd,0.0,3,13955050.0,0.0,"INF194KB1AL4,INF204K01K15,INF846K01K35",,
Ujjivan Small Finance Bank Ltd Ordinary Shares,0.0,1,9666765.0,0.0,INF194KB1AL4,,
Electronics Mart India Ltd,0.0,2,5821589.0,0.0,"INF194KB1AL4,INF846K01K35",,
Aster DM Healthcare Ltd Ordinary Shares,3.0,6,49030708.0,181.7522022213711,"INF179KA1RZ8,INF194KB1AL4,INF204K01K15,INF663L01W06,INF917K01QA1,INF966L01689","INF663L01W06,INF917K01QA1,INF966L01689",
AWL Agri Business Ltd,0.0,2,24204121.0,0.0,"INF194KB1AL4,INF204K01K15",,
Medplus Health Services Ltd,0.0,1,394694.0,0.0,INF194KB1AL4,,
Glenmark Pharmaceuticals Ltd,1.0,2,1467276.0,41.94892225497421,"INF194KB1AL4,INF247L01BY3",INF247L01BY3,
Syrma SGS Technology Ltd,1.0,3,3898345.0,0.0,"INF194KB1AL4,INF247L01BY3,INF846K01K35",INF247L01BY3,
Birlasoft Ltd,0.0,4,8425536.0,0.0,"INF194KB1AL4,INF204K01K15,INF205K013T3,INF846K01K35",,
Metropolis Healthcare Ltd,0.0,2,1227849.0,0.0,"INF194KB1AL4,INF204K01K15",,
Sansera Engineering Ltd,1.0,4,2443637.0,0.008600061718089977,"INF194KB1AL4,INF204K01K15,INF663L01W06,INF846K01K35",INF846K01K35,
Gulf Oil Lubricants India Ltd,0.0,1,189816.0,0.0,INF194KB1AL4,,
Sapphire Foods India Ltd,0.0,2,10557944.0,0.0,"INF194KB1AL4,INF204K01K15",,
Clean Science and Technology Ltd,0.0,2,2829656.0,0.0,"INF194KB1AL4,INF204K01K15",,
DCB Bank Ltd,0.0,2,21308000.0,0.0,"INF194KB1AL4,INF277K011O1",,
Bank of India,0.0,1,2370078.0,0.0,INF194KB1AL4,,
Aditya Birla Real Estate Ltd,0.0,6,5086304.0,-19.974755166479273,"INF194KB1AL4,INF204K01K15,INF205K013T3,INF247L01BY3,INF846K01K35,INF917K01QA1",INF247L01BY3,
One97 Communications Ltd,0.0,1,240000.0,0.0,INF194KB1AL4,,
Axis Bank Ltd,0.0,2,7477976.0,0.0,"INF194KB1AL4,INF204K01K15",,
Kilburn Engineering Ltd,0.0,1,799058.0,0.0,INF194KB1AL4,,
Punjab National Bank,0.0,1,700000.0,0.0,INF194KB1AL4,,
Landmark Cars Ltd,0.0,2,1748523.0,0.0,"INF194KB1AL4,INF204K01K15",,
Orient Electric Ltd Ordinary Shares,0.0,3,17765481.0,0.0,"INF194KB1AL4,INF204K01K15,INF846K01K35",,
Aarti Industries Ltd,0.0,4,9850511.0,0.0,"INF194KB1AL4,INF204K01K15,INF846K01K35,INF966L01689",,
Affle 3i Ltd,0.0,4,4075880.0,0.0,"INF194KB1AL4,INF204K01K15,INF663L01W06,INF846K01K35",,
Windlas Biotech Ltd,0.0,1,51399.0,0.0,INF194KB1AL4,,
Yatra Online Ltd,0.0,1,1039154.0,0.0,INF194KB1AL4,,
Arvind Fashions Ltd,0.0,2,3155300.0,0.0,"INF194KB1AL4,INF846K01K35",,
Vikram Solar Ltd,0.0,1,603315.0,0.0,INF194KB1AL4,,
Keystone Realtors Ltd,0.0,3,9425991.0,0.0,"INF194KB1AL4,INF277K011O1,INF966L01689",,
Sanathan Textiles Ltd,0.0,2,3906762.0,0.0,"INF194KB1AL4,INF204K01K15",,
eClerx Services Ltd,2.0,5,6805884.0,23.053857495485644,"INF179KA1RZ8,INF194KB1AL4,INF204K01K15,INF247L01BY3,INF917K01QA1","INF247L01BY3,INF917K01QA1",
Mahindra Lifespace Developers Ltd,0.0,2,5187920.0,0.0,"INF194KB1AL4,INF846K01K35",,
Vishnu Chemicals Ltd,0.0,1,941765.0,0.0,INF194KB1AL4,,
Apeejay Surrendra Park Hotels Ltd,0.0,3,17293272.0,0.0,"INF194KB1AL4,INF204K01K15,INF966L01689",,
Angel One Ltd Ordinary Shares,0.0,2,730367.0,0.0,"INF194KB1AL4,INF205K013T3",,
General Insurance Corp of India,0.0,1,600000.0,0.0,INF194KB1AL4,,
CG Power & Industrial Solutions Ltd,0.0,2,951417.0,0.0,"INF194KB1AL4,INF846K01K35",,
DOMS Industries Ltd,1.0,3,1687086.0,3.9985421616658607,"INF204K01K15,INF663L01W06,INF846K01K35",INF846K01K35,
Lumax Auto Technologies Ltd,0.0,2,2883602.0,0.0,"INF194KB1AL4,INF204K01K15",,
Epigral Ltd,0.0,1,371477.0,0.0,INF194KB1AL4,,
Baazar Style Retail Ltd,0.0,1,2058020.0,0.0,INF194KB1AL4,,
IRM Energy Ltd,0.0,1,393969.0,0.0,INF194KB1AL4,,
Concord Enviro Systems Ltd,-1.0,1,403805.0,-100.0,INF194KB1AL4,,INF663L01W06
PG Electroplast Ltd,2.0,5,8520640.0,32.74692422674485,"INF194KB1AL4,INF204K01K15,INF247L01BY3,INF846K01K35,INF917K01QA1","INF247L01BY3,INF917K01QA1",
Godrej Industries Ltd,0.0,2,3235808.0,0.0,"INF194KB1AL4,INF277K011O1",,
Aptus Value Housing Finance India Ltd,1.0,3,10376984.0,0.0,"INF194KB1AL4,INF846K01K35,INF966L01689",INF966L01689,
KFin Technologies Ltd,-1.0,4,9191066.0,-6.100498161117093,"INF194KB1AL4,INF204K01K15,INF846K01K35,INF917K01QA1",,
Stl Networks Limit,0.0,1,2359469.0,0.0,INF194KB1AL4,,
Mayur Uniquoters Ltd,0.0,1,275048.0,0.0,INF194KB1AL4,,
Samvardhana Motherson International Ltd,0.0,3,52645634.0,0.0,"INF194KB1AL4,INF204K01K15,INF966L01689",,
Sterlite Technologies Ltd,0.0,1,2359469.0,0.0,INF194KB1AL4,,
Kirloskar Oil Engines Ltd,0.0,4,7617801.0,0.0,"INF194KB1AL4,INF204K01K15,INF205K013T3,INF846K01K35",,
Amanta Healthcare,0.0,1,793730.0,0.0,INF194KB1AL4,,
P N Gadgil Jewellers Ltd,0.0,3,3291473.0,0.0,"INF194KB1AL4,INF204K01K15,INF247L01BY3",,
Bank of Baroda,0.0,2,49995691.0,0.0,"INF179KA1RZ8,INF194KB1AL4",,
Bansal Wire Industries Ltd,0.0,1,534003.0,0.0,INF194KB1AL4,,
Chemplast Sanmar Ltd,0.0,2,6066963.0,0.0,"INF194KB1AL4,INF846K01K35",,
Can Fin Homes Ltd,0.0,3,6950446.0,0.0,"INF194KB1AL4,INF204K01K15,INF846K01K35",,
Great Eastern Shipping Co Ltd,0.0,2,6706606.0,0.0,"INF179KA1RZ8,INF194KB1AL4",,
Satin Creditcare Network Ltd,0.0,1,1543801.0,0.0,INF194KB1AL4,,
