,trend_score,appearances,current_shares,share_change,funds,funds_entered,funds_exited
Bharat Rasayan Ltd,0.0,1,25978.0,0.0,INF663L01W06,,
PB Fintech Ltd,0.0,2,2479976.0,0.0,"INF663L01W06,INF846K01K35",,
Nippon Life India Asset Management Ltd Ordinary Shares,0.0,2,4602010.0,0.0,"INF205K013T3,INF917K01QA1",,
Concord Biotech Ltd,0.0,2,1184155.0,0.0,"INF205K013T3,INF917K01QA1",,
Phoenix Mills Ltd,0.0,2,2088071.0,0.0,"INF205K013T3,INF846K01K35",,
Neogen Chemicals Ltd,0.0,2,1440332.0,0.0,"INF205K013T3,INF846K01K35",,
Swiggy Ltd,2.0,2,8399953.0,9.910184341153194,"INF205K013T3,INF917K01QA1","INF205K013T3,INF917K01QA1",
Aether Industries Ltd,-1.0,1,303495.0,-100.0,INF205K013T3,,INF846K01K35
Brainbees Solutions Ltd,0.0,1,104542.0,0.0,INF205K013T3,,
Cohance Lifesciences Ltd,-2.0,2,3368486.0,-100.0,"INF846K01K35,INF917K01QA1",INF846K01K35,"INF205K013T3,INF277K011O1"
SBFC Finance Ltd,1.0,2,16486184.0,0.0,"INF205K013T3,INF846K01K35",INF205K013T3,
Go Digit General Insurance Ltd,0.0,1,4384695.0,0.0,INF205K013T3,,
ZF Commercial Vehicle Control Systems India Ltd,2.0,2,119074.0,81.06406487793691,"INF205K013T3,INF917K01QA1","INF205K013T3,INF917K01QA1",
Entero Healthcare Solutions Ltd,-1.0,1,52774.0,-83.203798830052,INF205K013T3,,
Leela Palaces Hotels and Resorts Ltd,1.0,1,2759482.0,0.0,INF205K013T3,INF205K013T3,
Trent Ltd,-1.0,1,228422.0,-100.0,INF205K013T3,,INF917K01QA1
KSB Ltd,0.0,2,2065557.0,0.0,"INF205K013T3,INF277K011O1",,
Apollo Hospitals Enterprise Ltd,0.0,1,151411.0,0.0,INF205K013T3,,
Indegene Ltd,0.0,0,0.0,0.0,,,
BSE Ltd,-1.0,2,1575642.0,-100.0,"INF205K013T3,INF846K01K35",,INF917K01QA1
Trualt Bioenergy Ltd,1.0,1,504030.0,0.0,INF205K013T3,INF205K013T3,
Ingersoll-Rand (India) Ltd,0.0,1,95565.0,0.0,INF205K013T3,,
VIP Industries Ltd,0.0,1,4692204.0,0.0,INF277K011O1,,
IDFC First Bank Ltd,0.0,1,59000000.0,0.0,INF277K011O1,,
Time Technoplast Ltd,2.0,3,22504004.0,100.0,"INF277K011O1,INF846K01K35,INF917K01QA1","INF277K011O1,INF846K01K35",
ASK Automotive Ltd,0.0,1,3158073.0,0.0,INF277K011O1,,
Anant Raj Ltd,0.0,2,6177390.0,0.0,"INF277K011O1,INF846K01K35",,
HealthCare Global Enterprises Ltd,0.0,2,4487695.0,21.42751436781609,"INF277K011O1,INF846K01K35",INF846K01K35,
Network People Services Technologies Ltd,1.0,1,1532500.0,1681.9767441860463,INF277K011O1,INF277K011O1,
Sundrop Brands Ltd,0.0,1,1782421.0,0.0,INF277K011O1,,
R R Kabel Ltd,0.0,2,1480630.0,0.0,"INF277K011O1,INF846K01K35",,
Ramco Industries Ltd,0.0,1,2281581.0,0.0,INF277K011O1,,
Allcargo Logistics Ltd,0.0,1,17112968.0,0.0,INF277K011O1,,
Rallis India Ltd,0.0,1,540349.0,0.0,INF277K011O1,,
Hikal Ltd,0.0,1,3300000.0,0.0,INF277K011O1,,
CE Info Systems Ltd,1.0,1,1850822.0,4.1326815084543504,INF277K011O1,INF277K011O1,
Sundaram Clayton Ltd,1.0,1,1326805.0,3.4451437958486437,INF277K011O1,INF277K011O1,
Natco Pharma Ltd,0.0,1,549064.0,0.0,INF277K011O1,,
POWERGRID Infrastructure Investment Trust Units,0.0,1,1043500.0,0.0,INF277K011O1,,
Sri Lotus Developers And Realty Ltd,0.0,1,2777562.0,0.0,INF277K011O1,,
Eveready Industries India Ltd,0.0,1,1772916.0,0.0,INF277K011O1,,
CarTrade Tech Ltd,0.0,1,528313.0,0.0,INF277K011O1,,
Vardhman Special Steels Ltd,0.0,1,2378601.0,0.0,INF277K011O1,,
Smartworks Coworking Spaces Ltd,0.0,1,2168435.0,0.0,INF277K011O1,,
Transindia Real Estate Ltd,0.0,1,3095712.0,0.0,INF277K011O1,,
SAMHI Hotels Ltd,0.0,1,11907432.0,0.0,INF277K011O1,,
MM Forgings Ltd,0.0,1,1576286.0,0.0,INF277K011O1,,
Graphite India Ltd,0.0,1,3757727.0,0.0,INF277K011O1,,
Cello World Ltd,0.0,1,1692675.0,0.0,INF277K011O1,,
Azad Engineering Ltd,1.0,1,264476.0,0.0,INF846K01K35,INF846K01K35,
Engineers India Ltd,1.0,2,13754483.0,10.19107082408696,"INF846K01K35,INF917K01QA1",INF917K01QA1,
Devyani International Ltd,0.0,2,20900341.0,0.0,"INF846K01K35,INF917K01QA1",,
Happy Forgings Ltd,0.0,2,660412.0,0.0,"INF846K01K35,INF917K01QA1",,
Atlanta Electricals Ltd,1.0,1,229387.0,0.0,INF846K01K35,INF846K01K35,
Ajax Engineering Ltd,0.0,1,507104.0,0.0,INF846K01K35,,
Jupiter Life Line Hospitals Ltd,0.0,0,0.0,0.0,,,
Inventurus Knowledge Solutions Ltd,0.0,1,849601.0,0.0,INF846K01K35,,
PDS Ltd,0.0,1,1399254.0,0.0,INF846K01K35,,
SJS Enterprises Ltd,0.0,1,1377351.0,0.0,INF846K01K35,,
L&T Technology Services Ltd,-1.0,0,0.0,-100.0,,,INF846K01K35
Container Corporation of India Ltd,0.0,1,840528.0,0.0,INF846K01K35,,
TeamLease Services Ltd,0.0,1,271086.0,0.0,INF846K01K35,,
KNR Constructions Ltd,0.0,1,3873356.0,0.0,INF846K01K35,,
Tata Consultancy Services Ltd,0.0,1,237254.0,0.0,INF846K01K35,,
Laurus Labs Ltd,0.0,1,2117487.0,0.0,INF846K01K35,,
Niva Bupa Health Insurance Co Ltd,0.0,1,13847059.0,0.0,INF846K01K35,,
Hindalco Industries Ltd,0.0,1,1430102.0,0.0,INF846K01K35,,
Mahanagar Gas Ltd,0.0,1,1157462.0,0.0,INF846K01K35,,
Titagarh Rail Systems Ltd,0.0,2,2563232.0,0.0,"INF846K01K35,INF917K01QA1",,
HeidelbergCement India Ltd,0.0,1,5040690.0,0.0,INF846K01K35,,
UNO Minda Ltd,0.0,2,1573681.0,0.0,"INF846K01K35,INF917K01QA1",,
VST Industries Ltd,-1.0,1,1887964.0,-0.49794140650528196,INF846K01K35,,
Coforge Ltd,0.0,1,1129938.0,0.0,INF846K01K35,,
Prudent Corporate Advisory Services Ltd,0.0,2,574520.0,0.0,"INF846K01K35,INF917K01QA1",,
Ahluwalia Contracts (India) Ltd,0.0,1,3220147.0,0.0,INF846K01K35,,
Havells India Ltd,0.0,1,635613.0,0.0,INF846K01K35,,
Tech Mahindra Ltd,0.0,1,868319.0,0.0,INF846K01K35,,
Alembic Pharmaceuticals Ltd,0.0,1,1455416.0,0.0,INF846K01K35,,
Wim Plast Ltd,0.0,1,457523.0,0.0,INF917K01QA1,,
Alkyl Amines Chemicals Ltd,1.0,1,460300.0,19.602865479905525,INF917K01QA1,INF917K01QA1,
Apollo Pipes Ltd,0.0,1,1374292.0,0.0,INF917K01QA1,,
Polycab India Ltd,0.0,1,272724.0,0.0,INF917K01QA1,,
Finolex Industries Ltd,0.0,1,5984579.0,0.0,INF917K01QA1,,
Supreme Industries Ltd,0.0,1,217043.0,0.0,INF917K01QA1,,
Cera Sanitaryware Ltd,1.0,1,338650.0,36.222847948511664,INF917K01QA1,INF917K01QA1,
Somany Ceramics Ltd,0.0,1,1367863.0,0.0,INF917K01QA1,,
IIFL Finance Ltd,0.0,1,3399982.0,0.0,INF917K01QA1,,
Supreme Petrochem Ltd,0.0,1,3565768.0,0.0,INF917K01QA1,,
Techno Electric & Engineering Co Ltd,-1.0,1,2308490.0,-4.374715214779836,INF917K01QA1,,
Nesco Ltd,1.0,1,442335.0,0.0,INF917K01QA1,INF917K01QA1,
Indo Count Industries Ltd,0.0,1,2471400.0,0.0,INF917K01QA1,,
Hindustan Foods Ltd,1.0,1,1124431.0,44.70901343450502,INF917K01QA1,INF917K01QA1,
IIFL Capital Services Ltd Ordinary Shares,0.0,1,569083.0,0.0,INF917K01QA1,,
Sundaram Finance Ltd,-1.0,1,60299.0,-70.99489636395995,INF917K01QA1,,
Ipca Laboratories Ltd,0.0,1,606800.0,0.0,INF917K01QA1,,
PTC Industries Ltd,0.0,1,80656.0,0.0,INF917K01QA1,,
Housing & Urban Development Corp Ltd,0.0,1,8043000.0,0.0,INF917K01QA1,,
Sterling Tools Ltd,-1.0,0,0.0,-100.0,,,INF917K01QA1
EIH Ltd,1.0,1,6037900.0,45.8220728716701,INF917K01QA1,INF917K01QA1,
Oberoi Realty Ltd,0.0,1,911600.0,0.0,INF917K01QA1,,
Motherson Sumi Wiring India Ltd,1.0,1,20583300.0,50.0,INF917K01QA1,INF917K01QA1,
