,trend_score,appearances,current_shares,share_change
eClerx Services Ltd,0.0,1,309103.0,0.0
Mahindra Lifespace Developers Ltd,0.0,1,1958855.0,0.0
Vishnu Chemicals Ltd,0.0,1,941765.0,0.0
Apeejay Surrendra Park Hotels Ltd,0.0,1,2724196.0,0.0
Angel One Ltd Ordinary Shares,0.0,1,322134.0,0.0
General Insurance Corp of India,0.0,1,600000.0,0.0
CG Power & Industrial Solutions Ltd,0.0,1,92192.0,0.0
DOMS Industries Ltd,0.0,0,0.0,0.0
Lumax Auto Technologies Ltd,0.0,1,403602.0,0.0
Epigral Ltd,0.0,1,371477.0,0.0
Baazar Style Retail Ltd,0.0,1,2058020.0,0.0
IRM Energy Ltd,0.0,1,393969.0,0.0
Concord Enviro Systems Ltd,0.0,1,403805.0,0.0
PG Electroplast Ltd,0.0,1,273000.0,0.0
Godrej Industries Ltd,0.0,1,360298.0,0.0
Aptus Value Housing Finance India Ltd,0.0,1,1123707.0,0.0
KFin Technologies Ltd,0.0,1,559475.0,0.0
Stl Networks Limit,0.0,1,2359469.0,0.0
Mayur Uniquoters Ltd,0.0,1,275048.0,0.0
Samvardhana Motherson International Ltd,0.0,1,3302740.0,0.0
Sterlite Technologies Ltd,0.0,1,2359469.0,0.0
Kirloskar Oil Engines Ltd,0.0,1,1409673.0,0.0
Amanta Healthcare,0.0,1,793730.0,0.0
P N Gadgil Jewellers Ltd,0.0,1,1398854.0,0.0
Bank of Baroda,0.0,1,3166899.0,0.0
Bansal Wire Industries Ltd,0.0,1,534003.0,0.0
Chemplast Sanmar Ltd,0.0,1,267634.0,0.0
Can Fin Homes Ltd,0.0,1,1033831.0,0.0
Great Eastern Shipping Co Ltd,0.0,1,1477024.0,0.0
Satin Creditcare Network Ltd,0.0,1,1543801.0,0.0
J.B. Chemicals & Pharmaceuticals Ltd,0.0,1,251559.0,0.0
