,trend_score,appearances,current_shares,share_change
Gokaldas Exports Ltd,0.0,1,5394102.0,0.0
Voltas Ltd,0.0,1,2496994.0,0.0
Just Dial Ltd,0.0,1,1627157.0,0.0
Sundaram Finance Holdings Ltd,0.0,1,8418075.0,0.0
Sanofi India Ltd,0.0,1,213992.0,0.0
Premier Energies Ltd,0.0,1,796635.0,0.0
Vedant Fashions Ltd,0.0,1,1628500.0,0.0
Tata Consumer Products Ltd,0.0,1,3658686.0,0.0
Raymond Realty Ltd,0.0,1,1238343.0,0.0
eMudhra Ltd,0.0,1,5083786.0,0.0
Zensar Technologies Ltd,0.0,1,2496604.0,0.0
LMW Ltd,0.0,1,84041.0,0.0
Carborundum Universal Ltd,0.0,1,3265582.0,0.0
Delhivery Ltd,0.0,1,5367117.0,0.0
Subros Ltd,0.0,1,968256.0,0.0
Aditya Birla Fashion and Retail Ltd,0.0,1,7755029.0,0.0
Apar Industries Ltd,0.0,1,899271.0,0.0
Sonata Software Ltd,0.0,1,3158666.0,0.0
Asian Paints Ltd,0.0,1,2303100.0,0.0
MAS Financial Services Ltd Ordinary Shares,0.0,1,13938609.0,0.0
Blue Star Ltd,0.0,1,2002468.0,0.0
Coal India Ltd,0.0,1,8056743.0,0.0
Jyothy Labs Ltd,0.0,1,10212940.0,0.0
West Coast Paper Mills Ltd,0.0,1,3359187.0,0.0
Avalon Technologies Ltd,0.0,1,3789162.0,0.0
Blue Dart Express Ltd,0.0,1,163428.0,0.0
Aster DM Healthcare Ltd Ordinary Shares,0.0,1,9648384.0,0.0
AWL Agri Business Ltd,0.0,1,22483343.0,0.0
Fine Organic Industries Ltd Ordinary Shares,0.0,1,785023.0,0.0
J.B. Chemicals & Pharmaceuticals Ltd,0.0,1,991107.0,0.0
Birla Corp Ltd,0.0,1,2697453.0,0.0
LIC Housing Finance Ltd,0.0,1,2678310.0,0.0
Go Fashion (India) Ltd,0.0,1,1223364.0,0.0
Indigo Paints Ltd Ordinary Shares,0.0,1,2600000.0,0.0
Balrampur Chini Mills Ltd,0.0,1,11061303.0,0.0
CARE Ratings Ltd,0.0,1,1476822.0,0.0
Metropolis Healthcare Ltd,0.0,1,1145336.0,0.0
Bharat Dynamics Ltd Ordinary Shares,0.0,1,1526498.0,0.0
Birlasoft Ltd,0.0,1,2901558.0,0.0
Sansera Engineering Ltd,0.0,1,894837.0,0.0
Clean Science and Technology Ltd,0.0,1,2689656.0,0.0
Hindustan Unilever Ltd,0.0,1,1835009.0,0.0
Sapphire Foods India Ltd,0.0,1,9282220.0,0.0
Vindhya Telelinks Ltd,0.0,1,975698.0,0.0
Aditya Birla Real Estate Ltd,0.0,1,1721623.0,0.0
Axis Bank Ltd,0.0,1,5977976.0,0.0
Orient Electric Ltd Ordinary Shares,0.0,1,10945837.0,0.0
