,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes,funds,funds_entered,funds_exited,funds_entered_count,funds_exited_count,current_shares_count,share_change_count
Angel One Ltd Ordinary Shares,0,2,423898.5,18.226886947667744,False,False,True,"Franklin Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Blue Star Ltd,0,5,1116819.6,-1.2321813259857581,False,False,True,"Canara Robeco Small Cap Fund,HDFC Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,5,5
Juniper Hotels Ltd,0,2,4266448.0,0.5051572046372312,False,False,True,"Axis Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
One97 Communications Ltd,0,1,149782.0,-37.590833333333336,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Vikram Solar Ltd,0,1,633880.0,5.066176044023437,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Cyient Ltd,0,2,1972533.5,6.998563163000249,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Computer Age Management Services Ltd Ordinary Shares,0,2,336985.5,0.0,False,False,,"Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Kewal Kiran Clothing Ltd,0,1,1450737.0,1.3598374594941292,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Aditya Infotech,0,0,0.0,0.0,False,False,,,,,0,0,0,0
GPT Healthcare Ltd,0,1,3240121.0,143.4464265052166,False,False,True,SBI Small Cap Fund,,,0,0,1,1
NLC India Ltd,0,2,14405876.5,-0.7377788336850436,False,False,,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Jyothy Labs Ltd,0,3,4656632.333333333,0.5274786647723336,False,False,True,"HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
Inox Wind Ltd,0,3,10998012.333333334,-12.068484440985427,False,False,,"HDFC Small Cap Fund,Kotak Small Cap Fund,SBI Small Cap Fund",,Kotak Small Cap Fund,0,1,3,2
IRM Energy Ltd,0,1,393969.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Blackbuck Ltd,0,2,261605.0,0.0,False,False,,"Canara Robeco Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Birla Corp Ltd,1,3,1071280.6666666667,0.0,True,False,True,"Franklin Small Cap Fund,HDFC Small Cap Fund,SBI Small Cap Fund",SBI Small Cap Fund,,1,0,3,2
Steel Strips Wheels Ltd,0,1,1138043.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Orchid Pharma Ltd,0,3,1405110.3333333333,5.131554174903511,False,False,True,"Axis Small Cap Fund,Franklin Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
Rishabh Instruments Ltd,0,3,1114414.6666666667,-14.699100739300556,False,False,True,"Axis Small Cap Fund,HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
Amanta Healthcare,0,1,0.0,-100.0,False,True,True,SBI Small Cap Fund,,SBI Small Cap Fund,0,1,1,1
Axis Bank Ltd,0,2,3788988.0,3.3333333333333335,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Mahindra Lifespace Developers Ltd,0,2,2593960.0,0.0,False,False,,"Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Heritage Foods Ltd,0,1,452302.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Repco Home Finance Ltd,0,2,1922316.5,-44.635144616150285,False,False,True,"Mirae Small Cap Fund,SBI Small Cap Fund",,Mirae Small Cap Fund,0,1,2,2
Cholamandalam Financial Holdings Ltd,0,6,1148184.0,0.28889376798363703,False,False,True,"Canara Robeco Small Cap Fund,Franklin Small Cap Fund,Kotak Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,6,6
GE Vernova T&D India Ltd,0,4,486968.5,-13.965939263533972,False,False,True,"Kotak Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,4,4
Akums Drugs and Pharmaceuticals Ltd,0,1,1699178.0,14.65763537158273,False,False,True,SBI Small Cap Fund,,,0,0,1,1
JK Paper Ltd,1,1,148399.0,0.0,True,False,True,SBI Small Cap Fund,SBI Small Cap Fund,,1,0,1,0
Yatra Online Ltd,0,1,680475.0,-34.51644318358973,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Aurobindo Pharma Ltd,0,1,650429.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Zee Entertainment Enterprises Ltd,0,1,2293930.0,6.9964970871250465,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Suryoday Small Finance Bank Ltd,0,1,1093182.0,57.38068844387498,False,False,True,SBI Small Cap Fund,,,0,0,1,1
TARC Ltd Ordinary Shares,0,1,10619558.0,8.10059351935417,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Sanathan Textiles Ltd,0,2,1961416.5,0.3016995874838694,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Ujjivan Small Finance Bank Ltd Ordinary Shares,0,1,9908489.0,2.5005676666392533,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Filatex India Ltd,0,1,3676679.0,11.357554075369931,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Landmark Cars Ltd,0,2,874261.5,0.0,False,False,,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Eureka Forbes Ltd,0,3,728572.0,0.0,False,False,,"Canara Robeco Small Cap Fund,Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,3,2
Manappuram Finance Ltd,0,1,4256895.0,-10.934228211510169,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Oswal Pumps Ltd,0,2,834135.0,3.1500858398391354,False,False,True,"Axis Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Butterfly Gandhimathi Appliances Ltd,0,1,51013.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
GK Energy Ltd,1,1,337013.0,0.0,True,False,True,SBI Small Cap Fund,SBI Small Cap Fund,,1,0,1,0
TBO Tek Ltd,0,3,1507466.6666666667,-4.813261433992411,False,False,True,"HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
Pennar Industries Ltd,1,1,252673.0,0.0,True,False,True,SBI Small Cap Fund,SBI Small Cap Fund,,1,0,1,0
Aditya Infotech Ltd,0,4,493086.75,-12.461835628388059,False,False,True,"Franklin Small Cap Fund,HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,4,4
Spicejet Ltd,0,1,15028063.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
SIS Ltd Ordinary Shares,0,2,1624740.0,36.60175854120487,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Radico Khaitan Ltd,0,6,648782.3333333334,-9.482163626835721,False,False,True,"Canara Robeco Small Cap Fund,HDFC Small Cap Fund,Motilal Oswal Small Cap Fund,Navi Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,Navi Small Cap Fund,0,1,6,6
Fedbank Financial Services Ltd,0,1,7377916.0,-3.3027886545539955,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Krsnaa Diagnostics Ltd,0,2,1576218.0,7.992691756437191,False,False,True,"Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Flair Writing Industries Ltd,0,1,399224.0,7.161570176945542,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Birlasoft Ltd,1,5,1867777.6,1.0872119114937022,False,False,True,"Franklin Small Cap Fund,HDFC Small Cap Fund,Kotak Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",Kotak Small Cap Fund,,1,0,5,5
Garware Hi-Tech Films Ltd,0,1,64022.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Windlas Biotech Ltd,0,1,81399.0,58.36689429755443,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Indus Towers Ltd Ordinary Shares,1,2,450000.0,0.0,True,False,True,"Kotak Small Cap Fund,SBI Small Cap Fund",SBI Small Cap Fund,Kotak Small Cap Fund,1,1,2,1
Aster DM Healthcare Ltd Ordinary Shares,1,6,8142958.5,-1.2871671438327965,False,False,True,"Axis Small Cap Fund,Canara Robeco Small Cap Fund,HDFC Small Cap Fund,Mirae Small Cap Fund,Motilal Oswal Small Cap Fund,SBI Small Cap Fund",Canara Robeco Small Cap Fund,,1,0,6,6
Poly Medicure Ltd,1,2,1652883.5,0.04583433494895322,True,False,True,"Axis Small Cap Fund,SBI Small Cap Fund",SBI Small Cap Fund,,1,0,2,1
Bank of Baroda,0,2,24997845.5,0.0,False,False,,"Mirae Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Arvind Ltd,0,2,10907122.5,9.831921617850249,False,False,True,"Axis Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Aegis Vopak Terminals Ltd,0,2,2005319.0,10.097072516225234,False,False,True,"Kotak Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Epigral Ltd,0,1,403705.0,8.675638061037425,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Pace Digitek Ltd,1,1,2690999.0,0.0,True,False,True,SBI Small Cap Fund,SBI Small Cap Fund,,1,0,1,0
Godavari Biorefineries Ltd,0,1,351261.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Aditya Birla Sun Life AMC Ltd,0,2,1549026.5,0.0,False,False,,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Aptus Value Housing Finance India Ltd,1,3,3478994.6666666665,1.7798233881251964,False,False,True,"Axis Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",Axis Small Cap Fund,,1,0,3,3
Triveni Engineering & Industries Ltd,0,1,1020656.0,2.9534707315892255,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Info Edge (India) Ltd,0,1,1900000.0,8.571428571428571,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Godawari Power & Ispat Ltd,0,1,4916636.0,-0.40017097514580496,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Jain Resource Recycling Ltd,3,3,1410004.3333333333,0.0,True,False,True,"Kotak Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund","Kotak Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,3,0,3,2
Motilal Oswal Financial Services Ltd,0,2,2226516.5,-1.5189092224545069,False,False,True,"Motilal Oswal Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Power Finance Corp Ltd,0,1,4286755.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Exide Industries Ltd,0,2,286035.0,0.0,False,False,,"Motilal Oswal Small Cap Fund,SBI Small Cap Fund",,Motilal Oswal Small Cap Fund,0,1,2,1
Sky Gold and Diamonds Ltd,1,2,1678029.0,12.02817755082308,True,False,True,"Kotak Small Cap Fund,SBI Small Cap Fund",SBI Small Cap Fund,,1,0,2,1
Emcure Pharmaceuticals Ltd,0,1,295129.0,12.589221337585693,False,False,True,SBI Small Cap Fund,,,0,0,1,1
J.B. Chemicals & Pharmaceuticals Ltd,0,5,974386.8,0.0,False,False,,"Canara Robeco Small Cap Fund,Franklin Small Cap Fund,HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,5,4
S H Kelkar & Co Ltd,0,1,3942304.0,4.158680990947718,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Kilburn Engineering Ltd,0,1,889647.0,11.336974287223207,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Narayana Hrudayalaya Ltd,1,3,1036707.3333333334,0.0,True,False,True,"HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",SBI Small Cap Fund,,1,0,3,2
Punjab National Bank,0,1,0.0,-100.0,False,True,True,SBI Small Cap Fund,,SBI Small Cap Fund,0,1,1,1
Mangalore Chemicals & Fertilizers Ltd,0,1,0.0,-100.0,False,True,True,SBI Small Cap Fund,,SBI Small Cap Fund,0,1,1,1
Amara Raja Energy & Mobility Ltd,0,1,905999.0,2.539032216079179,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Rashi Peripherals Ltd,0,1,4490918.0,16.73542424652809,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Godrej Industries Ltd,0,2,2038269.5,116.67161627319607,False,False,True,"Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Marksans Pharma Ltd,0,1,3335509.0,2.300254346790639,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Artemis Medicare Services Ltd Ordinary Shares,0,1,609551.0,7.598900623650713,False,False,True,SBI Small Cap Fund,,,0,0,1,1
JK Tyre & Industries Ltd,1,4,1511371.75,-18.963786699565542,False,False,True,"HDFC Small Cap Fund,Mirae Small Cap Fund,Motilal Oswal Small Cap Fund,SBI Small Cap Fund",Mirae Small Cap Fund,,1,0,4,4
Karnataka Bank Ltd,0,2,12512024.5,3.6799051009394983,False,False,True,"Axis Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Kirloskar Oil Engines Ltd,0,4,1911950.25,0.5320382812184102,False,False,True,"Franklin Small Cap Fund,HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,4,4
Nitin Spinners Ltd,0,3,2364913.3333333335,-2.289028986881545,False,False,True,"Axis Small Cap Fund,Motilal Oswal Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
Emami Ltd,0,3,5372998.0,8.578294053654115,False,False,,"HDFC Small Cap Fund,Mirae Small Cap Fund,SBI Small Cap Fund",,,0,0,3,2
Satin Creditcare Network Ltd,0,1,1543801.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Gulf Oil Lubricants India Ltd,0,1,189816.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Jupiter Wagons Ltd,0,1,2300773.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
MOIL Ltd,0,1,277970.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Shilpa Medicare Ltd,0,1,2225882.0,101.81333362346672,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Senco Gold Ltd,0,1,3148138.0,17.381945524189206,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Mastek Ltd,0,1,322058.0,66.15144917816276,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Affle 3i Ltd,0,4,1005619.5,-25.0,False,True,True,"Canara Robeco Small Cap Fund,HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,SBI Small Cap Fund,0,1,4,4
M & B Engineering Ltd,0,1,197002.0,-39.32276266508969,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Digitide Solutions Ltd,0,3,2459401.6666666665,0.0,False,False,,"Axis Small Cap Fund,Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,3,2
LT Foods Ltd,0,1,9000572.0,26.482715338244578,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Yatharth Hospital and Trauma Care Services Ltd,0,1,2681785.0,-7.508740297037318,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Redington Ltd,1,3,7011626.0,0.0,True,False,True,"Mirae Small Cap Fund,Navi Small Cap Fund,SBI Small Cap Fund",SBI Small Cap Fund,,1,0,3,2
REC Ltd,0,1,12623275.0,47.26610509295365,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Tata Communications Ltd,0,1,590136.0,13.487692307692308,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Kolte-Patil Developers Ltd,0,1,2144741.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Bluspring Enterprises Ltd,0,2,4624440.0,0.0,False,False,,"Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Prestige Estates Projects Ltd,0,1,822793.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Dam Capital Advisors Ltd,0,1,172927.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
VRL Logistics Ltd,0,2,7481384.0,0.2488336710582121,False,False,,"Mirae Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Jubilant Pharmova Ltd,0,2,2344709.0,6.726018066546153,False,False,True,"Axis Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Power Mech Projects Ltd,0,2,1273072.5,-1.0447416897067034,False,False,,"Mirae Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Aditya Birla Fashion and Retail Ltd,0,3,11817793.0,0.0,False,False,,"Axis Small Cap Fund,HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,3,2
Brigade Hotel Ventures Ltd,0,1,2670506.0,30.897403722859867,False,False,True,SBI Small Cap Fund,,,0,0,1,1
STL Networks Ltd,1,1,2359469.0,0.0,True,False,True,SBI Small Cap Fund,SBI Small Cap Fund,,1,0,1,0
Updater Services Ltd,0,1,2960080.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Awfis Space Solutions Ltd,1,4,2119515.5,8.830116089477853,True,False,True,"Canara Robeco Small Cap Fund,Franklin Small Cap Fund,Mirae Small Cap Fund,SBI Small Cap Fund",SBI Small Cap Fund,,1,0,4,3
Apar Industries Ltd,0,7,337178.71428571426,-2.0267765087432443,False,False,,"Franklin Small Cap Fund,HDFC Small Cap Fund,Kotak Small Cap Fund,Mirae Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,7,6
Vedant Fashions Ltd,0,2,959186.5,0.0,False,False,,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Ramco Cements Ltd,0,2,2418485.5,45.361211749369616,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
PCBL Chemical Ltd,0,2,5006614.0,1.8324175443130193,False,False,True,"Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
RHI Magnesita India Ltd,0,3,2427837.6666666665,10.793370291591225,False,False,True,"HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
PG Electroplast Ltd,1,5,1505519.6,-6.480357780917265,False,False,True,"HDFC Small Cap Fund,Kotak Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",Kotak Small Cap Fund,,1,0,5,5
Bansal Wire Industries Ltd,0,1,534003.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
M&B Engnrg Lt,0,0,0.0,0.0,False,False,,,,,0,0,0,0
Max Estates Ltd,1,3,1121628.0,0.0,True,False,True,"Franklin Small Cap Fund,HDFC Small Cap Fund,SBI Small Cap Fund",SBI Small Cap Fund,,1,0,3,2
Concord Enviro Systems Ltd,0,2,201902.5,0.0,False,False,,"Canara Robeco Small Cap Fund,SBI Small Cap Fund",,Canara Robeco Small Cap Fund,0,1,2,1
Greenpanel Industries Ltd Ordinary Shares,0,1,778754.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
General Insurance Corp of India,0,1,2300000.0,283.33333333333337,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Lumax Auto Technologies Ltd,0,2,1400265.5,-10.291202719510807,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Stl Networks Limit,0,1,0.0,-100.0,False,True,True,SBI Small Cap Fund,,SBI Small Cap Fund,0,1,1,1
Great Eastern Shipping Co Ltd,0,2,3353303.0,0.0,False,False,,"Mirae Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Grasim Industries Ltd,0,1,180598.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
PNB Housing Finance Ltd,0,4,2659791.25,4.244272254423925,False,False,True,"HDFC Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,4,4
P N Gadgil Jewellers Ltd,0,3,1044395.0,-4.938830382815387,False,False,True,"HDFC Small Cap Fund,Kotak Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
FDC Ltd,0,2,2360809.5,0.0,False,False,,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Innova Captab Ltd,0,3,312703.0,0.0,False,False,,"Canara Robeco Small Cap Fund,Franklin Small Cap Fund,SBI Small Cap Fund",,,0,0,3,2
Mayur Uniquoters Ltd,0,1,275048.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Sterlite Technologies Ltd,0,1,2328110.0,-1.3290702272418073,False,False,True,SBI Small Cap Fund,,,0,0,1,1
The South Indian Bank Ltd,0,1,106518390.0,-0.8705312624143459,False,False,True,SBI Small Cap Fund,,,0,0,1,1
KFin Technologies Ltd,0,4,2228439.0,-4.051556498400912,False,False,,"HDFC Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,4,3
JSW Cement Ltd,0,2,6182969.0,61.069073306484015,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
IndiaMART InterMESH Ltd,0,2,170899.0,0.0,False,False,,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Vedanta Ltd,0,2,4418825.5,-21.655841914085823,False,False,,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Eternal Ltd,2,3,1877815.3333333333,0.0,True,False,True,"Canara Robeco Small Cap Fund,Franklin Small Cap Fund,SBI Small Cap Fund","Canara Robeco Small Cap Fund,SBI Small Cap Fund",,2,0,3,2
Clean Science and Technology Ltd,0,2,1412532.5,-1.6396428571428572,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Bombay Burmah Trading Corp Ltd,0,1,196754.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
KEC International Ltd,0,5,2058838.4,1.3149135855228014,False,False,True,"HDFC Small Cap Fund,Kotak Small Cap Fund,Mirae Small Cap Fund,Motilal Oswal Small Cap Fund,SBI Small Cap Fund",,,0,0,5,5
Cohance Lifesciences Ltd,1,5,757566.2,0.0,True,False,True,"Franklin Small Cap Fund,Motilal Oswal Small Cap Fund,Navi Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",SBI Small Cap Fund,"Franklin Small Cap Fund,Navi Small Cap Fund",1,2,5,4
GNA Axles Ltd,0,2,1697837.5,0.0,False,False,,"Mirae Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Strides Pharma Science Ltd,0,3,1831498.6666666667,14.324897831926968,False,False,True,"Axis Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
Metropolis Healthcare Ltd,0,2,633851.5,24.150133918291665,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Saatvik Green Energy Ltd,2,2,1685533.5,0.0,True,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund","HDFC Small Cap Fund,SBI Small Cap Fund",,2,0,2,1
Baazar Style Retail Ltd,0,1,1970845.0,-4.235867484281008,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Jindal Saw Ltd,0,3,4618087.333333333,19.334124843590438,False,False,True,"HDFC Small Cap Fund,Motilal Oswal Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
R R Kabel Ltd,1,3,526261.3333333334,0.0,True,False,True,"Navi Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",SBI Small Cap Fund,,1,0,3,2
eClerx Services Ltd,0,5,1334805.2,-0.8208015364729059,False,False,True,"HDFC Small Cap Fund,Kotak Small Cap Fund,Mirae Small Cap Fund,Motilal Oswal Small Cap Fund,SBI Small Cap Fund",,,0,0,5,5
Aarti Industries Ltd,0,4,2462627.75,0.0,False,False,,"Axis Small Cap Fund,HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,4,3
Krishna Institute of Medical Sciences Ltd,0,6,5451609.833333333,0.0,False,False,,"Canara Robeco Small Cap Fund,Franklin Small Cap Fund,HDFC Small Cap Fund,Mirae Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,6,5
Kirloskar Ferrous Industries Ltd,0,4,3693829.5,0.2995464866192584,False,False,True,"HDFC Small Cap Fund,Mirae Small Cap Fund,Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,4,4
Piramal Pharma Ltd,0,1,7891952.0,17.21476885365427,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Greenply Industries Ltd,0,3,2871462.6666666665,0.0,False,False,,"Canara Robeco Small Cap Fund,Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,3,2
Ecos (India) Mobility & Hospitality Ltd,0,1,1242970.0,3.7120290500816866,False,False,True,SBI Small Cap Fund,,,0,0,1,1
CG Power & Industrial Solutions Ltd,0,2,429612.5,-50.0,False,True,True,"Nippon Small Cap Fund,SBI Small Cap Fund",,SBI Small Cap Fund,0,1,2,2
UPL Ltd Ordinary Shares (Partly Paid Rs.1),0,1,0.0,-100.0,False,True,True,SBI Small Cap Fund,,SBI Small Cap Fund,0,1,1,1
Glenmark Pharmaceuticals Ltd,0,2,662114.5,-13.883487707431616,False,False,True,"Kotak Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
JSW Energy Ltd,0,1,0.0,-100.0,False,True,True,SBI Small Cap Fund,,SBI Small Cap Fund,0,1,1,1
Pondy Oxides And Chemicals Ltd,0,1,201315.0,-29.890089224146937,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Samvardhana Motherson International Ltd,0,3,17838544.666666668,8.780588238856222,False,False,True,"Axis Small Cap Fund,HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
