date,fund_id,stock,action,shares_change
2025-11-23,INF179KA1RZ8,eClerx Services Ltd,decrease,85322.0
2025-11-23,INF179KA1RZ8,T.V. Today Network Ltd,decrease,161270.0
2025-11-23,INF179KA1RZ8,Bajaj Consumer Care Ltd,decrease,693190.0
2025-11-23,INF179KA1RZ8,Gabriel India Ltd,decrease,1065190.0
2025-11-23,INF663L01W06,Concord Enviro Systems Ltd,exit,142758.0
2025-11-23,INF663L01W06,KEI Industries Ltd,decrease,10000.0
2025-11-23,INF663L01W06,Global Health Ltd,decrease,44330.0
2025-11-23,INF663L01W06,Technocraft Industries (India) Ltd,decrease,20320.0
2025-11-23,INF663L01W06,Rainbow Childrens Medicare Ltd,decrease,39865.0
2025-11-23,INF663L01W06,Tega Industries Ltd,decrease,50000.0
2025-11-23,INF663L01W06,Dixon Technologies (India) Ltd,decrease,2000.0
2025-11-23,INF663L01W06,Eureka Forbes Ltd,decrease,93589.0
2025-11-23,INF663L01W06,Gabriel India Ltd,decrease,50000.0
2025-11-23,INF663L01W06,Kaynes Technology India Ltd,decrease,5500.0
2025-11-23,INF205K013T3,Entero Healthcare Solutions Ltd,decrease,261428.0
2025-11-23,INF205K013T3,Multi Commodity Exchange of India Ltd,decrease,34953.0
2025-11-23,INF205K013T3,Schloss Bangalore Ltd,exit,2759482.0
2025-11-23,INF205K013T3,Cohance Lifesciences Ltd,exit,214041.0
2025-11-23,INF205K013T3,Vishal Mega Mart Ltd,decrease,2646145.0
2025-11-23,INF205K013T3,Five-Star Business Finance Ltd,exit,1138199.0
2025-11-23,INF205K013T3,Seamec Ltd,exit,107156.0
2025-11-23,INF205K013T3,Laxmi Dental Ltd,exit,408904.0
2025-11-23,INF277K011O1,Radico Khaitan Ltd,exit,300000.0
2025-11-23,INF277K011O1,HealthCare Global Enterprises Ltd,decrease,491163.0
2025-11-23,INF277K011O1,Cohance Lifesciences Ltd,exit,1329000.0
2025-11-23,INF846K01K35,Persistent Systems Ltd,decrease,54341.0
2025-11-23,INF846K01K35,Narayana Hrudayalaya Ltd,decrease,491624.0
2025-11-23,INF846K01K35,MTAR Technologies Ltd,exit,282833.0
2025-11-23,INF846K01K35,L&T Technology Services Ltd,exit,187250.0
2025-11-23,INF846K01K35,Anthem Biosciences Ltd,decrease,229451.0
2025-11-23,INF846K01K35,Aether Industries Ltd,exit,585452.0
2025-11-23,INF846K01K35,Fortis Healthcare Ltd,decrease,199550.0
2025-11-23,INF846K01K35,HDFC Bank Ltd,decrease,1000000.0
2025-11-23,INF846K01K35,VST Industries Ltd,decrease,9448.0
2025-11-23,INF917K01QA1,Maharashtra Seamless Ltd,decrease,330842.0
2025-11-23,INF917K01QA1,Sonata Software Ltd,exit,321141.0
2025-11-23,INF917K01QA1,Persistent Systems Ltd,decrease,77000.0
2025-11-23,INF917K01QA1,Nitin Spinners Ltd,decrease,154977.0
2025-11-23,INF917K01QA1,Apar Industries Ltd,decrease,34235.0
2025-11-23,INF917K01QA1,PG Electroplast Ltd,decrease,1047800.0
2025-11-23,INF917K01QA1,The Federal Bank Ltd,decrease,4272400.0
2025-11-23,INF917K01QA1,Sundaram Finance Ltd,exit,60299.0
2025-11-23,INF917K01QA1,KFin Technologies Ltd,decrease,277310.0
2025-11-23,INF917K01QA1,H.G. Infra Engineering Ltd Ordinary Shares,decrease,139023.0
2025-11-23,INF917K01QA1,Jindal Saw Ltd,decrease,431566.0
2025-11-23,INF917K01QA1,Apollo Pipes Ltd,decrease,534463.0
2025-11-23,INF917K01QA1,Brigade Enterprises Ltd,decrease,50000.0
2025-11-23,INF917K01QA1,Balrampur Chini Mills Ltd,decrease,1404900.0
2025-11-23,INF917K01QA1,Grindwell Norton Ltd,decrease,20000.0
2025-11-23,INF917K01QA1,Techno Electric & Engineering Co Ltd,decrease,307174.0
2025-11-23,INF917K01QA1,Blue Star Ltd,decrease,415630.0
2025-11-23,INF917K01QA1,Welspun Living Ltd,decrease,628201.0
2025-11-23,INF917K01QA1,K.P.R. Mill Ltd,decrease,399000.0
2025-11-23,INF917K01QA1,Sterling Tools Ltd,exit,597104.0
2025-11-23,INF917K01QA1,Sonata Software Ltd,decrease,2212659.0
2025-11-23,INF917K01QA1,Tube Investments of India Ltd Ordinary Shares,decrease,190000.0
2025-11-23,INF917K01QA1,Exide Industries Ltd,exit,2299800.0
2025-11-23,INF917K01QA1,LMW Ltd,exit,12753.0
2025-11-23,INF917K01QA1,Nitin Spinners Ltd,decrease,22652.0
2025-11-23,INF917K01QA1,The Federal Bank Ltd,decrease,4003800.0
2025-11-23,INF917K01QA1,Sundaram Finance Ltd,decrease,147592.0
2025-11-23,INF917K01QA1,KFin Technologies Ltd,decrease,148226.0
2025-11-23,INF917K01QA1,Cohance Lifesciences Ltd,decrease,920000.0
2025-11-23,INF917K01QA1,H.G. Infra Engineering Ltd Ordinary Shares,decrease,395830.0
2025-11-23,INF917K01QA1,Gokaldas Exports Ltd,decrease,212977.0
2025-11-23,INF917K01QA1,Neuland Laboratories Ltd,decrease,64392.0
2025-11-23,INF917K01QA1,Amber Enterprises India Ltd Ordinary Shares,decrease,53540.0
2025-11-23,INF917K01QA1,Brigade Enterprises Ltd,decrease,308223.0
2025-11-23,INF917K01QA1,Grindwell Norton Ltd,decrease,153361.0
2025-11-23,INF917K01QA1,NCC Ltd,exit,2747600.0
2025-11-23,INF917K01QA1,BSE Ltd,exit,558000.0
2025-11-23,INF917K01QA1,Trent Ltd,exit,325600.0
2025-11-23,INF917K01QA1,Techno Electric & Engineering Co Ltd,decrease,105610.0
2025-11-23,INF917K01QA1,Aditya Birla Real Estate Ltd,decrease,318712.0
2026-01-31,INF194KB1AL4,Lumax Auto Technologies Ltd,decrease,6493.0
2026-01-31,INF194KB1AL4,JK Tyre & Industries Ltd,decrease,214122.0
2026-01-31,INF194KB1AL4,Ramco Cements Ltd,decrease,10162.0
2026-01-31,INF194KB1AL4,Fedbank Financial Services Ltd,decrease,162763.0
2026-01-31,INF194KB1AL4,UPL Ltd,exit,315210.0
2026-01-31,INF194KB1AL4,Aditya Birla Sun Life AMC Ltd,decrease,2908.0
2026-01-31,INF194KB1AL4,R R Kabel Ltd,decrease,24639.0
2026-01-31,INF194KB1AL4,Vedanta Ltd,decrease,274351.0
2026-01-31,INF194KB1AL4,National Aluminium Co Ltd,decrease,190000.0
2026-01-31,INF194KB1AL4,Sai Life Sciences Ltd,decrease,33000.0
2026-01-31,INF194KB1AL4,EPACK Durable Ltd,decrease,48952.0
2026-01-31,INF194KB1AL4,Can Fin Homes Ltd,decrease,23083.0
2026-01-31,INF194KB1AL4,GE Vernova T&D India Ltd,exit,47456.0
2026-01-31,INF194KB1AL4,eClerx Services Ltd,decrease,6000.0
2026-01-31,INF194KB1AL4,Bank of India,decrease,350250.0
2026-01-31,INF194KB1AL4,Yatra Online Ltd,decrease,11546.0
2026-01-31,INF194KB1AL4,Motilal Oswal Financial Services Ltd,decrease,661175.0
2026-01-31,INF194KB1AL4,Axis Bank Ltd,decrease,22712.0
2026-01-31,INF194KB1AL4,Bank of Baroda,decrease,540000.0
2026-01-31,INF194KB1AL4,Manappuram Finance Ltd,decrease,420000.0
2026-01-31,INF194KB1AL4,Vishnu Chemicals Ltd,decrease,4797.0
2026-01-31,INF194KB1AL4,Pine Labs Ltd,decrease,282500.0
2026-01-31,INF194KB1AL4,Multi Commodity Exchange of India Ltd,exit,16545.0
2026-01-31,INF194KB1AL4,Kirloskar Oil Engines Ltd,decrease,105000.0
2026-01-31,INF194KB1AL4,Indus Towers Ltd Ordinary Shares,decrease,210000.0
2026-01-31,INF194KB1AL4,Lumax Auto Technologies Ltd,decrease,12998.0
2026-01-31,INF194KB1AL4,Aditya Infotech Ltd,exit,48294.0
2026-01-31,INF194KB1AL4,Redington Ltd,decrease,720004.0
2026-01-31,INF194KB1AL4,Radico Khaitan Ltd,exit,67453.0
2026-01-31,INF194KB1AL4,Nuvama Wealth Management Ltd,decrease,2346.0
2026-01-31,INF194KB1AL4,GK Energy Ltd,decrease,93000.0
2026-01-31,INF194KB1AL4,Bharat Forge Ltd,exit,22281.0
2026-01-31,INF194KB1AL4,Fedbank Financial Services Ltd,decrease,136451.0
2026-01-31,INF194KB1AL4,TBO Tek Ltd,decrease,15692.0
2026-01-31,INF194KB1AL4,The South Indian Bank Ltd,decrease,300000.0
2026-01-31,INF194KB1AL4,Trualt Bioenergy Ltd,decrease,54109.0
2026-01-31,INF194KB1AL4,Ethos Ltd,decrease,3127.0
2026-01-31,INF194KB1AL4,UPL Ltd,decrease,160500.0
2026-01-31,INF194KB1AL4,Mahindra Lifespace Developers Ltd,decrease,116917.0
2026-01-31,INF194KB1AL4,Syrma SGS Technology Ltd,decrease,15000.0
2026-01-31,INF194KB1AL4,DCB Bank Ltd,decrease,1250000.0
2026-01-31,INF194KB1AL4,Vedanta Ltd,decrease,19159.0
2026-01-31,INF194KB1AL4,VRL Logistics Ltd,decrease,11848.0
2026-01-31,INF194KB1AL4,Neuland Laboratories Ltd,decrease,4400.0
2026-01-31,INF194KB1AL4,Sansera Engineering Ltd,decrease,58762.0
2026-01-31,INF194KB1AL4,PG Electroplast Ltd,decrease,150000.0
2026-01-31,INF194KB1AL4,One97 Communications Ltd,exit,149782.0
2026-01-31,INF194KB1AL4,LG Electronics India Ltd,exit,24639.0
2026-01-31,INF194KB1AL4,Can Fin Homes Ltd,decrease,102438.0
2026-01-31,INF194KB1AL4,J.B. Chemicals & Pharmaceuticals Ltd,decrease,15000.0
2026-01-31,INF194KB1AL4,GE Vernova T&D India Ltd,decrease,42693.0
2026-01-31,INF194KB1AL4,Bank of India,decrease,1247682.0
2026-01-31,INF194KB1AL4,Aurobindo Pharma Ltd,decrease,13115.0
2026-01-31,INF194KB1AL4,M & B Engineering Ltd,exit,197002.0
2026-01-31,INF194KB1AL4,Eureka Forbes Ltd,decrease,37715.0
2026-01-31,INF194KB1AL4,Yatra Online Ltd,decrease,338980.0
