,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes
Filatex India Ltd,1.0,1,3706973.0,0.8239500919171894,False,False,True
Neuland Laboratories Ltd,-1.0,1,54813.0,0.0,False,False,True
Sansera Engineering Ltd,-1.0,1,352346.0,0.0,False,False,True
Clean Science and Technology Ltd,1.0,1,343636.0,0.0,False,False,True
Krishna Institute of Medical Sciences Ltd,2.0,1,475281.0,44.68307265188829,False,False,True
Alicon Castalloy Ltd,1.0,1,324189.0,0.0,False,False,True
PG Electroplast Ltd,-1.0,1,153000.0,0.0,False,False,True
One97 Communications Ltd,-1.0,1,0.0,0.0,False,True,True
Ujjivan Small Finance Bank Ltd Ordinary Shares,2.0,1,10502790.0,2.9403721923121027,False,False,True
LG Electronics India Ltd,-1.0,1,0.0,0.0,False,True,True
Kewal Kiran Clothing Ltd,2.0,1,1513846.0,4.278254256797203,False,False,True
FDC Ltd,0.0,1,446288.0,0.0,False,False,
EPACK Durable Ltd,0.0,1,2726095.0,-1.7640061591749616,False,False,True
STL Networks Ltd,0.0,1,2359469.0,0.0,False,False,
Can Fin Homes Ltd,-2.0,1,968310.0,-2.328340022574297,False,False,True
SIS Ltd Ordinary Shares,2.0,1,3683732.0,9.931007604114535,False,False,True
Sunteck Realty Ltd,1.0,1,1580727.0,0.7649514542683336,False,False,True
J.B. Chemicals & Pharmaceuticals Ltd,-1.0,1,236559.0,0.0,False,False,True
IRM Energy Ltd,0.0,1,393969.0,0.0,False,False,
Akums Drugs and Pharmaceuticals Ltd,2.0,1,1743851.0,1.1997019460554859,False,False,True
GE Vernova T&D India Ltd,-2.0,1,0.0,-100.0,False,True,True
TVS Holdings Ltd,1.0,1,134956.0,3.296619185757258,False,False,True
Saregama India Ltd,1.0,1,400000.0,0.0,True,False,True
Updater Services Ltd,0.0,1,2960080.0,0.0,False,False,
eClerx Services Ltd,-1.0,1,306103.0,-1.9224422706606472,False,False,True
Bank of India,-2.0,1,1222146.0,-22.274923110972043,False,False,True
Emcure Pharmaceuticals Ltd,0.0,1,295129.0,0.0,False,False,
Awfis Space Solutions Ltd,2.0,1,871257.0,26.092418306518255,False,False,True
Ellenbarrie Industrial Gases Ltd,1.0,1,385572.0,0.0,False,False,True
Gulf Oil Lubricants India Ltd,0.0,1,189816.0,0.0,False,False,
Aurobindo Pharma Ltd,-1.0,1,637314.0,0.0,False,False,True
Baazar Style Retail Ltd,2.0,1,2192462.0,1.6185084693600402,False,False,True
NCC Ltd,2.0,1,4751350.0,18.616708020929526,False,False,True
M & B Engineering Ltd,-1.0,1,0.0,0.0,False,True,True
GPT Healthcare Ltd,1.0,1,3261625.0,0.6636789181638587,False,False,True
Oswal Pumps Ltd,2.0,1,415471.0,27.652233225079957,False,False,True
Sudarshan Chemical Industries Ltd,2.0,1,52253.0,109.012,True,False,True
S H Kelkar & Co Ltd,2.0,1,5415240.0,4.528720864513618,False,False,True
Eureka Forbes Ltd,-1.0,1,527927.0,0.0,False,False,True
IndusInd Bank Ltd,0.0,1,1260156.0,0.0,False,False,
NTPC Green Energy Ltd,1.0,1,2929023.0,10.423621496886184,False,False,True
Sanathan Textiles Ltd,2.0,1,2866665.0,3.5614190620075563,False,False,True
Shilpa Medicare Ltd,2.0,1,2497968.0,9.27808172075374,False,False,True
Kirloskar Ferrous Industries Ltd,1.0,1,1361352.0,0.0,False,False,True
Aarti Industries Ltd,1.0,1,705937.0,14.650973564583007,False,False,True
Eris Lifesciences Ltd Registered Shs,0.0,1,418483.0,0.0,False,False,
Chemplast Sanmar Ltd,0.0,1,267634.0,0.0,False,False,
PVR INOX Ltd,1.0,1,14248.0,0.0,True,False,True
Concord Enviro Systems Ltd,0.0,1,403805.0,0.0,False,False,
Yatra Online Ltd,-2.0,1,329949.0,-3.3810158274645308,False,False,True
Info Edge (India) Ltd,1.0,1,2120000.0,11.578947368421053,False,False,True
Inox Wind Ltd,1.0,1,13514137.0,4.002605194982898,False,False,True
Karnataka Bank Ltd,2.0,1,11054907.0,0.7614641169502717,False,False,True
Nitin Spinners Ltd,2.0,1,3540709.0,1.6091202613069882,False,False,True
Cyient Ltd,2.0,1,1859375.0,68.10432119079563,False,False,True
Great Eastern Shipping Co Ltd,2.0,1,1688372.0,13.15984193283754,False,False,True
Emami Ltd,1.0,1,508304.0,0.0,False,False,True
Cohance Lifesciences Ltd,2.0,1,1645809.0,56.09776685999365,False,False,True
Amanta Healthcare Ltd,2.0,1,1570467.0,25.327650310552563,False,False,True
Thirumalai Chemicals Ltd,1.0,1,600274.0,0.0,False,False,True
Aditya Birla Fashion and Retail Ltd,0.0,1,9616081.0,0.0,False,False,
Crompton Greaves Consumer Electricals Ltd,0.0,1,2555546.0,0.0,False,False,
JSW Cement Ltd,2.0,1,4567866.0,52.214404676931444,False,False,True
Jubilant Pharmova Ltd,2.0,1,1967867.0,8.587968544883577,False,False,True
Motilal Oswal Financial Services Ltd,-2.0,1,570140.0,-53.69665763837849,False,False,True
Glenmark Pharmaceuticals Ltd,0.0,1,952877.0,0.0,False,False,
GNA Axles Ltd,0.0,1,118573.0,0.0,False,False,
Garware Hi-Tech Films Ltd,0.0,1,60125.0,11.085450346420323,False,False,True
Kajaria Ceramics Ltd,1.0,1,110054.0,0.0,True,False,True
Godrej Industries Ltd,2.0,1,1957554.0,55.13795603951451,False,False,True
Pondy Oxides And Chemicals Ltd,1.0,1,225958.0,12.2410153242431,False,False,True
All Time Plastics Ltd,0.0,1,599734.0,0.0,False,False,
