,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes,funds,funds_entered,funds_exited,funds_entered_count,funds_exited_count,current_shares_count,share_change_count
Strides Pharma Science Ltd,0,3,1918165.3333333333,3.2176611584298533,False,False,True,"Axis Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,3,2
KEC International Ltd,0,5,2027096.0,4.709147491594045,False,False,True,"HDFC Small Cap Fund,Kotak Small Cap Fund,Mirae Small Cap Fund,Motilal Oswal Small Cap Fund,SBI Small Cap Fund",,,0,0,5,5
Stove Kraft Ltd Ordinary Shares,0,1,1109577.0,0.0,False,False,True,SBI Small Cap Fund,,,0,0,1,0
CESC Ltd,1,3,6629700.333333333,0.0,False,False,,"HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",Nippon Small Cap Fund,,1,0,3,2
Rashi Peripherals Ltd,0,1,4633009.0,0.12268408663999039,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Acutaas Chemicals Ltd,1,1,52665.0,0.0,True,False,True,SBI Small Cap Fund,SBI Small Cap Fund,,1,0,1,0
Amber Enterprises India Ltd Ordinary Shares,0,4,242655.5,-1.976707606803077,False,False,True,"Franklin Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,4,3
Ethos Ltd,0,3,252861.33333333334,0.0,False,False,True,"Axis Small Cap Fund,Franklin Small Cap Fund,SBI Small Cap Fund",,,0,0,3,2
RHI Magnesita India Ltd,0,3,2449860.3333333335,2.02131738846087,False,False,True,"HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
Steel Strips Wheels Ltd,0,1,1695943.0,49.0227522158653,False,False,True,SBI Small Cap Fund,,,0,0,1,1
UPL Ltd,0,1,0.0,-100.0,False,True,True,SBI Small Cap Fund,,SBI Small Cap Fund,0,1,1,1
Aptus Value Housing Finance India Ltd,0,3,4047772.6666666665,10.789254882347032,False,False,True,"Axis Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
Aditya Birla Real Estate Ltd,0,6,851728.5,8.867856491736445,False,False,True,"Franklin Small Cap Fund,HDFC Small Cap Fund,Kotak Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,6,6
Krsnaa Diagnostics Ltd,0,2,1576218.0,0.0,False,False,,"Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Artemis Medicare Services Ltd Ordinary Shares,0,1,609551.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Landmark Cars Ltd,0,2,874261.5,0.0,False,False,,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Mahindra Lifespace Developers Ltd,0,2,2562849.5,1.4658473846568127,False,False,True,"Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
